%Base de treino em portugues para linguagem natural		
@relation baseTreino			
			
%Atributos da base			
@attribute commentMessage string			
@attribute class {positiva, negativa, neutra}			
			
%dados obtidos			
@data		
'fim superlotacaoaprovaca pen mort crim hedi',negativa
'autor renan calheirosseri algu vot favor',neutra
'gentepagin sen piadatristezagast sen faz propost ridicul pens pov mediocr pens conhec fat test',negativa
'congress publicaca mostr desservicocar demal mant ruim demal serv',neutra
'unic real acab superlotaca presidi invest pes educaca',neutra
'pres provisori podera penitenci cert carcer delegac pov solt ne',neutra
'pres inoc vom condenarerr judiciari lot porq verd bond livr lev solt',negativa
'30 cab 30cade agrada meli priv liberdadepi possi consegu sair que volt',neutra
'pov honest ferr empreg preocupadoscans',negativa
'precis mutira bast softw control',neutra
'cade spacade opca marg senh politicosaond cab 5 entr 10t ruim apront poxafac cert pres',negativa
'resolv cri solucaopropost incen crimin volt agir1/6 pen incentivoconselhot alter pen torn dur med pres',neutra
'fac cade pessoal',neutra
'ridicul nivel superi tecn desprepar fich suj precis reavali',negativa
'daqu pres consequ ment perfeit',neutra
'so sacan gentelix lei lix poli lixojunt explod',negativa
'piadageni prop tal soluca',positiva
'inacredita solucaona com',neutra
'deu vej assinat atest incompetenc',neutra
'ja pens nel cel lot',neutra
'pens crimin cumpr pen comport aument prisa',negativa
'dev est preocup sup lotaca onibu trabalh viv dia',neutra
'acab superlotaca sal aul escol publ projet',neutra
'pens viu aparec aff palhac',neutra
'so est zue solt bandid rua',negativa
'dev estud atac caus raiz superlotaca presidi',neutra
'deu ceu mutira sab presidiari cumpr pen',neutra
'bandid populaca',neutra
'par met mao patrimoni pod constru centen presidioscri vergonh',negativa
'surrealacab superlotaca constru presidi col queu inici priv constru ger presidi nov naosoluca liber crimin rua',neutra
'reform pris individu pag pen complet pag',neutra
'naovot cois priorit cade ferr',negativa
'vergonhosopens reduz criminal invers',negativa
'genteviv pens dess porrr favorsalv pud',neutra
'constru presidi ninguemre impossi lot',neutra
'educaca projet elabor moral aprov',positiva
'propost ruim encar soluca paleativopreside cri',neutra
'fim reduca pen crim hedi',negativa
'resolv seri pi mau gost',negativa
'construca nov presidi privatiz presidi ponh vagabund trabalh sustent exced constru nov and divid turn gast presidi ira gast escol',neutra
'vari populaca vir impun ger violenc crimin perderesper crimin fiqu cade pag crim toleranc zer',negativa
'duvid faz bolsonar venc eleicoespopulaca manifest',neutra
'sup lot olh ouv cerebr atur tant palhac tant politic concret volt pov vergonh',negativa
'ira receb met di coloc cumpr dentr',neutra
'hav pen mort pres reincid assassinatolel dur presidi estat fazi',negativa
'ferr criminal aument crimin tem cidada fic pres casasenquant legisl pior situaca tip',negativa
'tao quer brun ne senadoiss col capet aguard ansios',neutra
'mim pod fac dizersobr viv ganh liberdad',neutra
'privatiz carcerari deix pres trabalhar',neutra
'oce vir fernand beir mar comport tribun',neutra
'jeitinhoresolv superlotaca cri cidada',neutra
'cuid sup lotaca hospit precis aprov',neutra
'to pesquis armasvoc dev',neutra
'melhor peg poli roub constru presidi inclusiv coloc',neutra
'vc parab ide giric atr parec vei nord gost giric sei ond',neutra
'tir presidi solt ruasphod cidada tom oi goiab trabalh sustent meli',neutra
'lot cade solt presoexcel logic trabalh seguranc publicaquis tranqu carr escritori',neutra
'1/6 pen crim compens multiplic 6 ver impossi complet execut mand val presidiari jair bolsonaro2018',neutra
'fic presosest ind caminh err',negativa
'falt 1 it assassin estupr sequestr dev morr espac',negativa
'olh brilh ideiana fech polic havera priso',neutra
'paut superlotaca hospit educaca escol',neutra
'evit sup lotaca bast invest educaca qualidadetera oportun',positiva
'solt cumpr pen dev acontec sempr',neutra
'devolv def?s pessoal cidada diminu quant mam tet govern pens reduz gast otimizaca public destin verb real pens pov sustent',neutra
'dev artig proib benefici agentecorrupt',negativa
'acab superlotacaodeix apodrec cade junt',negativa
'solt po queu espac presidi kkkkk constru vag crimin col queu pen mort perig',negativa
'sentenc cumpr integralmentedev acab progressa penapen acim 50 comut perpetu',neutra
'multira resolv solt pres pert cumpr pen comet crim pag fim',negativa
'dev prop hav mutira medic hospit superlotad val invert',neutra
'sen problem quer presidioshouv superlotaca constru presidioscheg refenss mir delinqu prox hor descobr lucr',negativa
'legal med afrox pen result med err pres',negativa
'tip surpreend lamenta fiqu atent autor dess projet absurd especif autor sen renan calh bast acess link descrica mat confer',neutra
'pod chin usal doaca orga util sociaedad',neutra
'pen mort crim hedi corrupcaohahasuperlotaca hospit',negativa
'kkkkkkk palhac dess politicospens brinc',positiva
'so fal solt cad punica pcc kkkkkkk',neutra
'esper lot mes',neutra
'apen topic demal fragiliz lei',neutra
'pq faz mutira hospit merec olh',neutra
'ja cheg indult said tempor comport peg vint cumpr cheg impun terr lei terr',neutra
'mat mat estupr pedofil comet latrocini',negativa
'realmentesuperlotaca presidi hospitaisseguranc publ segurancad sima pi pront',neutra
'sen circ invent pi',neutra
'pen mort prisa perpetu crim hediondosroub pes sai pag prejuiz pesso sofr',negativa
'acab log presidi prend hav lotacaolot merec',neutra
'pres execut prev',neutra
'roub solt pres bandid rir toa',negativa
've cheg assacin livr',neutra
'incompetentenunc trat causaalgum med pali asn cri',negativa
'val mat torn bon cumpr 1|6 pen sai repet',neutra
'cri impost tempor constru presidiobast presidi escolassen cl maior ind desej',neutra
'metad dess lix mand cemiterioassim roub maisna mataetcnoss lix libert canalh nov',negativa
'legisl entaoach desigualdad rend desarm civil sucate milit',negativa
'ah simresolveracrianc bol melhor altern',neutra
'privatiz presidi coloc trabalh manteremresolv',neutra
'resolv dess pior atual situaca 1/6 pen pi incen impun',negativa
'cad acab hospit superlot parec piadamsm',neutra
'acab superlotaca hospit dev prior',neutra
'diminu lotaca presidi mand carn brf jb facil resolv',neutra
'bot pres serv pes tap burac rodov feder plant escal aliment sustent presidi sob supervisa exercit ver presidi lotarquer volt doid queuebr reduz cust',neutra
'oxe lotarpresidi sofr colon fer',neutra
'ideiasoltaresolv tal problem',neutra
'pres provisori penitenci vag pres delegac deixara exist',neutra
'aproveit lib poss port arm fog tbobrig',neutra
'diz criminalidadeaument pouc pres dia',neutra
'poderi condic progressa regim pres constat busc ressocializacaorend constro melhor presidiocoloc rua atest incompetenc fragil',neutra
'adiant list fech financ escond atr legend mostr med explic pov motiv dest list fech vot pmdb psdb pp pdtlix',neutra
'jefferson oliv otavi lim agr comet crim pert sair comet crim pres sair boa',neutra
'luil bianc otim acab vag lib',positiva
'melhor alg p/ acab sup lotaca fil hospitaishospit doenc presidi evit individu trabalh honest',neutra
'complic hem',negativa
'roldney advalt olh ide dess',neutra
'diminu superlotaca presidi triplic quant',neutra
'1/6 pen kkkk sec pov respost problem solt mund',negativa
'pen mort trafic estupr assassinostrabalh forc crim',negativa
'poli presidi lot adot detent lev casasobrig',neutra
'mutira acontec pres audienc pres solt morodelegac capac 27 110 detent ironic cdp capac 500 vazi constru',neutra
'1legisl cri lei 2execu execut prend 3judiciari julg 4execu suport lotaca 5legisl cri lei solt infra diz conflit poderesreferenc circul vir si',neutra
'tal garant autosuficienc presidi atrav pres guard constru presidi delegac escol',neutra
'poli pens nel frent destin muitosna dao pontocacalh',neutra
'quefaz td alivi dess cidada pres culp sistem merec atenca respeit pres sofr famil perd algu trabalh final consegu su compr carr mot celul tv perd coit oprim roub',negativa
'coloc pres trabalh obr publ salari economiz construca presidi',neutra
'resum soluca superlotaca diminu pen ridicul bot deliqu rua seguranc maravilh',negativa
'traduzindoal visivel incapaz ressocial pres passara coloc lo nov convivi soc prejuiz cidadaosam propost',neutra
'solt pres lev respec mae senadorescamb fdp',neutra
'pov clam pen sev sen prop absurd dest',negativa
'banc evangel deix escrav sofr pov reform previdenc mal trabalh cheg ditad tem',negativa
'plebiscit queu sab pov favor reform previdenc',neutra
'acab superlotaca transport publ hospit retard',negativa
'facil descriminal uso drog prend grand traficantescade',negativa
'ah lib comet nov delitospr pres ne deix lasc',negativa
'superlotaca sal aul acab',neutra
'pen mort crim hedi reincidentesresolv rap',negativa
'sen dand rec vit azara crimin coit',negativa
'kkkkkk soluca poli superlotaca solt presospi',neutra
'q tal pen mort detent 3 crim cost acab superlotaca iri estimul ir raniel per',negativa
'dificil viv cris and',negativa
'pres cumpr pen rsrsr exist pres cumpr pen continu pres inoc ferr pobr coit',negativa
'escol nov presidioside mirabol',neutra
'so hidromass frigob celasterci arauj arauj',neutra
'mutira ver cumpr pen lot pres etern',neutra
'ah sen deix solt lev junt coleg',neutra
'faz sup lotaca hospit tb',neutra
'sen est sacanagemquer pen dur impun aliviandomo propo criaca nov presidi exempl',negativa
'acompanh pen solt margempen vergonh melhor',negativa
'tur execuco penal coloc pra',neutra
'ridicul fic lot exist invest educaca par destru patr',negativa
'final',positiva
'final uhuuuuu',positiva
'parab',positiva
'particul ame',positiva
'gost',positiva
'ach interess',positiva
'interess',positiva
'aprov',positiva
'concord',positiva
'e simples comec bom',positiva
'bom',positiva
'ame',positiva
'gost am',positiva
'olh am',positiva
'am',positiva
'maravilh',positiva
'maravilhaconstru nov presidi ne larg judiciari resolv mutira panverdad prend domicili mund ueh',positiva
'bom demal',positiva
'produt bom atend pess',neutra
'sensac',positiva
'sensac',positiva
'dripl sensas',positiva
'viv am',positiva
'fic paz',positiva
'paz',positiva
'paz',positiva
'deu ama pec',positiva
'deu abomin pec',negativa
'deu bom',positiva
'deu just',positiva
'repudi inaceita',negativa
'e extrem inaceita',negativa
'am',positiva
'lind',positiva
'voc ach lind',positiva
'am',positiva
'err',negativa
'cred',negativa
'boa inici tip am igual',positiva
'parab',positiva
'parab inici sen',positiva
'esta parab',positiva
'esperanc',positiva
'esperanc',positiva
'esperanc',positiva
'paz crist',positiva
'quer',positiva
'concord',positiva
'discord',negativa
'discord total',negativa
'posi',positiva
'posi',positiva
'med posi',positiva
'boa',positiva
'boa',positiva
'inici boa',positiva
'parab sen boa',positiva
'amo',positiva
'ame',positiva
'ame verdad',positiva
'ame',positiva
'am',positiva
'parab sen otim inici',positiva
'legal',positiva
'ach legal',positiva
'parac pegal menos',positiva
'just',positiva
'just',positiva
'jus',positiva
'feliz',positiva
'fiqu feliz mudanc',positiva
'feliz',positiva
'questa preocup feliz',positiva
